email,name,userType,profileDetails,createdAt
"rahul.chatterjee319@fotdu.edu.in","Rahul Chatterjee","Alumni","693518d8bd14f512f99e1b42","2020-02-09T18:30:00.000Z"
"ananya.kapoor734@fotdu.edu.in","Ananya Kapoor","Alumni","693518d9bd14f512f99e1b56","2023-05-09T18:30:00.000Z"
"rajesh.mehra294@fotdu.edu.in","Rajesh Mehra","Alumni","693518d9bd14f512f99e1b62","2023-01-08T18:30:00.000Z"
"kabir.rao124@fotdu.edu.in","Kabir Rao","Alumni","693518d9bd14f512f99e1b6f","2022-09-23T18:30:00.000Z"
"aishwarya.dhawan580@fotdu.edu.in","Aishwarya Dhawan","Alumni","693518d9bd14f512f99e1b7c","2022-03-16T18:30:00.000Z"
"pari.dubey247@fotdu.edu.in","Pari Dubey","Alumni","693518d9bd14f512f99e1b89","2021-02-20T18:30:00.000Z"
"rajesh.patil887@fotdu.edu.in","Rajesh Patil","Alumni","693518d9bd14f512f99e1b96","2019-04-20T18:30:00.000Z"
"aadhya.sharma504@fotdu.edu.in","Aadhya Sharma","Alumni","693518d9bd14f512f99e1ba5","2023-12-03T18:30:00.000Z"
"mahi.bhatia792@fotdu.edu.in","Mahi Bhatia","Alumni","693518dabd14f512f99e1bb2","2020-10-25T18:30:00.000Z"
"kabir.gupta957@fotdu.edu.in","Kabir Gupta","Alumni","693518dabd14f512f99e1bbf","2022-07-11T18:30:00.000Z"
"tanvi.arora313@fotdu.edu.in","Tanvi Arora","Alumni","693518dabd14f512f99e1bcf","2021-12-05T18:30:00.000Z"
"venkat.thakur602@fotdu.edu.in","Venkat Thakur","Alumni","693518dabd14f512f99e1bdc","2020-10-14T18:30:00.000Z"
"aadhya.nair666@fotdu.edu.in","Aadhya Nair","Alumni","693518dabd14f512f99e1beb","2021-06-14T18:30:00.000Z"
"prasad.verma914@fotdu.edu.in","Prasad Verma","Alumni","693518dabd14f512f99e1bf8","2019-02-18T18:30:00.000Z"
"ishaan.kulkarni872@fotdu.edu.in","Ishaan Kulkarni","Alumni","693518dabd14f512f99e1c08","2019-02-02T18:30:00.000Z"
"rahul.patel722@fotdu.edu.in","Rahul Patel","Alumni","693518dbbd14f512f99e1c18","2019-06-09T18:30:00.000Z"
"aarav.verma39@fotdu.edu.in","Aarav Verma","Alumni","693518dbbd14f512f99e1c27","2022-07-22T18:30:00.000Z"
"kajal.patel703@fotdu.edu.in","Kajal Patel","Alumni","693518dbbd14f512f99e1c36","2019-03-21T18:30:00.000Z"
"tanvi.jain145@fotdu.edu.in","Tanvi Jain","Alumni","693518dbbd14f512f99e1c46","2022-02-11T18:30:00.000Z"
"advait.bhatia499@fotdu.edu.in","Advait Bhatia","Alumni","693518dcbd14f512f99e1c56","2022-06-09T18:30:00.000Z"
"rohan.patel949@fotdu.edu.in","Rohan Patel","Alumni","693518dcbd14f512f99e1c65","2020-06-01T18:30:00.000Z"
"amit.patel172@fotdu.edu.in","Amit Patel","Alumni","693518dcbd14f512f99e1c72","2022-12-04T18:30:00.000Z"
"aarush.mukherjee551@fotdu.edu.in","Aarush Mukherjee","Alumni","693518dcbd14f512f99e1c82","2020-08-01T18:30:00.000Z"
"ishita.thakur457@fotdu.edu.in","Ishita Thakur","Alumni","693518dcbd14f512f99e1c91","2022-08-22T18:30:00.000Z"
"darsh.malhotra78@fotdu.edu.in","Darsh Malhotra","Alumni","693518dcbd14f512f99e1c9f","2023-12-16T18:30:00.000Z"
"aadhya.nair180@fotdu.edu.in","Aadhya Nair","Alumni","693518dcbd14f512f99e1cab","2022-04-22T18:30:00.000Z"
"sana.chavan730@fotdu.edu.in","Sana Chavan","Alumni","693518ddbd14f512f99e1cba","2022-03-17T18:30:00.000Z"
"riddhi.srivastava700@fotdu.edu.in","Riddhi Srivastava","Alumni","693518ddbd14f512f99e1cc5","2019-09-03T18:30:00.000Z"
"varun.menon485@fotdu.edu.in","Varun Menon","Alumni","693518ddbd14f512f99e1cd5","2019-12-20T18:30:00.000Z"
"vihaan.gupta772@fotdu.edu.in","Vihaan Gupta","Alumni","693518ddbd14f512f99e1ce1","2020-04-30T18:30:00.000Z"
"anjali.iyer683@fotdu.edu.in","Anjali Iyer","Alumni","693518ddbd14f512f99e1cf1","2022-11-24T18:30:00.000Z"
"kunal.singh964@fotdu.edu.in","Kunal Singh","Alumni","693518ddbd14f512f99e1d00","2020-08-18T18:30:00.000Z"
"shanaya.mukherjee984@fotdu.edu.in","Shanaya Mukherjee","Alumni","693518debd14f512f99e1d10","2022-05-15T18:30:00.000Z"
"aanya.mehra460@fotdu.edu.in","Aanya Mehra","Alumni","693518debd14f512f99e1d1c","2020-06-22T18:30:00.000Z"
